[2024-12-23 12:57:50]  |  FILE LOG  |  User user1 sent offline message to user2
[2024-12-23 12:58:05]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 13:01:12]  |  FILE LOG  |  User user2 sent private message to user1
[2024-12-23 13:01:17]  |  FILE LOG  |  User user1 sent private message to user2
[2024-12-23 13:01:22]  |  FILE LOG  |  User user2 sent private message to user1
[2024-12-23 13:03:16]  |  FILE LOG  |  User user1 sent private message to user2
[2024-12-23 13:03:22]  |  FILE LOG  |  User user2 sent private message to user1
[2024-12-23 13:03:29]  |  FILE LOG  |  User user1 sent private message to user2
[2024-12-23 13:03:30]  |  FILE LOG  |  User user1 disconnect from chat with user2
[2024-12-23 14:14:53]  |  FILE LOG  |  User user1 sent private message to user2
[2024-12-23 14:14:58]  |  FILE LOG  |  User user2 sent private message to user1
[2024-12-23 14:15:07]  |  FILE LOG  |  User user2 disconnect from chat with user1
[2024-12-23 14:15:27]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 14:15:54]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 14:16:06]  |  FILE LOG  |  User offline sent private message to user1
[2024-12-23 14:16:12]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 14:16:38]  |  FILE LOG  |  User offline sent private message to user1
[2024-12-23 14:16:41]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 14:16:53]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 14:17:20]  |  FILE LOG  |  User user1 sent offline message to offline
[2024-12-23 14:17:51]  |  FILE LOG  |  User offline disconnect from chat with user1
[2024-12-23 14:18:19]  |  FILE LOG  |  User user1 sent private message to user2
[2024-12-23 14:18:28]  |  FILE LOG  |  User offline sent private message to user1
[2024-12-23 14:19:20]  |  FILE LOG  |  User user1 sent private message to user2
[2024-12-23 14:19:39]  |  FILE LOG  |  User user1 disconnect from chat with offline
[2024-12-23 14:19:56]  |  FILE LOG  |  User user1 sent private message to user3
[2024-12-23 14:20:00]  |  FILE LOG  |  User user3 sent private message to user1
[2024-12-23 14:20:10]  |  FILE LOG  |  User user1 sent private message to user3
